title,year
Star Wars: Episode VII - The Force Awakens,2015
Miami Vice,1984
The A-Team,1983
"10,000 BC",2008
Hannibal,2013
Daredevil,2015
Bewitched,1964
Constantine,2005
Life,2017
Sleepy Hollow,1999
Last Man Standing,2011
The Missing,2014
Rules of Engagement,2007
Sabrina the Teenage Witch,1996
Sex and the City,1998
Anger Management,2003
Stargate SG-1,1997
Unforgotten,2015
A Touch of Frost,1992
Twisted Metal,2023
Defiance,2008
Outlander,2014
The Returned,2012
McHale's Navy,1962
Arthur,1981
3rd Rock from the Sun,1996
Rush Hour,1998
Hit the Floor,2013
Luther,2010
Friday Night Lights,2006
The Family Plan,2023
Entourage,2004
Trapped,2015
12 Monkeys,2015
Limitless,2011
The Honeymooners,1955
It's Always Sunny in Philadelphia,2005
Shaun the Sheep,2007
The Powerpuff Girls,1998
Rogue Heroes,2022
The Bachelor,2002
Meet the Browns,2009
Yu-Gi-Oh! Duel Monsters,2000
Fired Up!,2009
Perception,2012
The Doombolt Chase,1978
Gone Baby Gone,2007
The O.C.,2003
Unforgettable,2011
Carlos,2010
The Messengers,2007
Lilyhammer,2012
Scream: The TV Series,2015
The Dead Zone,1983
The Company You Keep,2012
The Towering Inferno,1974
Ghost Hunters,2004
Dekalog,1989
The Border,1982
The Girl with the Dragon Tattoo,2009
AfterBuzz TV's Spartacus: War of the Damned After Show,2013
Lovesick,2014
Bones,2005
Dekalog,1989
The Bold and the Beautiful,1987
Star Wars: The Clone Wars,2008
The Player,1992
Preacher,2016
Wuthering Heights,2026
Fargo,2014
Buffy the Vampire Slayer,1997
Nikita,2010
Dark Angel,2000
Gomorrah,2014
War & Peace,2016
Veronica Mars,2004
Emma.,2020
The Inbetweeners,2008
Saving Grace,2007
Psych,2006
Secrets & Lies,1996
Anne of Green Gables,1985
Animal Kingdom,2016
Saving Grace,2007
Sonny with a Chance,2009
M*A*S*H,1972
Inland Empire,2006
Kingsman: The Secret Service,2014
Robot Chicken,2001
Deadline Gallipoli,2015
Creature Commandos,2024
Dead Alive,1992
The Grand Budapest Hotel,2014
In the Heat of the Night,1988
Strangers with Candy,1999
Get Real,1999
Eureka,2006
Wings,1990
The Streets of San Francisco,1972
Space: Above and Beyond,1995
The Girlfriend Experience,2016
Wolf Creek,2005
Jesse,1998
Rogue Heroes,2022
Home Movies,1999
Revolution,2012
Happy Valley,2014
The Following,2013
